Hash,Message
78f12b3df,Ant 1.6.1 release
148519167,Forgot to update these files PR: Obtained from: Submitted by: Reviewed by:
1abe95bf6,correting typos
ccf15859f,copy/paste typo correction
87c50a640,Separate 1.6.0 to 1.6.1 changes from the other changes
122793e23,"Add retroactively fix of bug 26642, possibility of running programs in directories having non ascii names"
f298615cf,"Adhering to the last point in <http://www.apache.org/dev/apply-license.html>, more commits to follow for the subdirectories."
a7acaf9e6,Second batch
7b27a575a,Correct copyright statement
f4ab6966b,Final batch
94565cfd8,Accommodate Windows bug encountered in both Sun and IBM JDKs.
1f6115c62,"Redirector exhibited inconsistent behavior with regard to split output.  When sent to file only, files would be created in all cases; when split file-property, files were only created if writes were performed."
499d174f0,Add several I/O related test cases to <exec> and <apply>.
91092b496,Code cleanup.
231e15c24,Fix information concerning library requirements for ftp task. jakarta-oro 2.0.1 or greater commons-net 1.2.0 or greater when using MS FTP servers
d516e1424,Remove comparison between cvs update and HTTP get from corresponding ant tasks reference
76a6e36fe,subant: catch throwables from ant.execute() with failonerror is false PR:  27007 Reported by: Mariano Benitez
9ac23b1ec,update WHATSNEW - subant haalt on failure
ef9e8aca0,Let 'testcase'-property choose the right target for running tests.
c97b81b64,Testcase for duplicate targets. Reported by Dominique Devienne.
9c369c29d,Make note in FAQ about taskcontainer differences between ant 1.6 and ant 1.6
7e562b584,"If initialization determines that the corresponding target could not run, bail out of the test (pass)."
bbd6a3bd9,fix for macrodef broken @@ escape handling PR: 27069 Reported by: Daniel Spilker
e8a61057b,Remove 1.6.0 from homepage
c7f123a60,Change some links as requested by Pavel Vlasov
55fd720ee,added authors tags to make conversion to forrest easier
41227cd11,typos
57debbf8b,add author tags to prepare conversion to Forrest changed attribution of bylaws to Apache Ant PMC
f6c034b00,TokenFilter.ReplaceString only replaced the first occurrence.
298880094,Adding author meta information
aa8332fb3,further preparation for forrest migration
c361e9480,Set the author of the license to The Apache Software Foundation Fix the case of the tt element in the antidote docu
e13da426b,"Antelope new url; new tasks: antariel, rundoc"
df6d711fd,regenerate site
c06b502ac,"Well, let's face it, more and more time is eaten up by Gump"
194e61bbf,Adapt to latest board meeting results - i.e. boast a little 8-)
caf0645f5,Another testcase for double target-definition
505aa524b,Added me.
d99dce793,regenerate site
b4c31671f,Allow subclasses of <junit> to plug in command lines of their own.
6d7fe8048,Fix occasionally thrown IOException when the stream has already been closed with alwaysCreate.
e43598075,Cause AntLikeTasksAtTopLevelTest to pass on cygwin.
036aacdf4,Autoload of antlib.xml from default namespace
085edaf82,allow ./build.sh test to work
5bc841852,Remove check for author in javadoc class header
6fb42d703,"ConditionBase: stylecheck, also remove author as per apache guidelines (should be added to style check?)"
62fcbf852,stylecheck
dd0d33bb3,Add nested file element to file list to allow filenames to contain white space and commas
48d010f54,"Remove Author for SQLExec:    authors are:  * @author <a href=""mailto:jeff at custommonkey dor org"">Jeff Martin</a>  * @author <A href=""mailto:gholam at xtra dot co dot nz"">Michael McCallum</A>  * @author <A href=""mailto:tim.stephenson at sybase dot com"">Tim Stephenson</A> conform to stylecheck"
2a1a857ad,Fix for SQLExec when used with Informix. PR: 27162 Obtained from: Bohuslav Roztocil
959fd0f7c,separate 1.6 changes from 1.7 (cvs head) changes
41d2a975a,add bugzilla report 27162
a0c2e2864,MacroDef did not allow attributes named 'description'. PR: 27175 Reported by: Jayson Raymond
3deb50ae8,"adding an article to a (belated) article to resources, and removing my unavailable JUG presentation"
f3a2a405f,style check on PatternSet
e5fc96441,Throw build exception if name attribute is missing in a patternset PR: 25982 Obtained from: Jose Alberto Fernandez
8942563e9,typo
57c40e724,Docs fixes for xmlvalidate.html PR: 27092 Obtained from: Jesse Glick
94e81238b,Typo
beddd2bdf,Remove --path from cygpath command as specified by Antoine. PR:  17257
a75d603ca,manual page update for @@ change in macrodef
e0a983e35,"adding hints about presetdef/macrodef to the errors. Now that I am using them, they are the main source of this error :)"
feb03ce2d,added cloning support; bug #27218
fd9f899c2,documented
8cbb49d6a,nothing wrong with setFailOnError(false) and spawn.
4e1532800,Javadoc all public methods.
2ce327371,"Exclude ProjectTest from being executed (hopefully :), because of testDuplicateTarget."
3e7907c85,"Fix for duplicate targets in the build file. In ant 1.5 these were not allowed. In ant 1.6, with import file's targets being allowed to be overridden, duplicate targets where incorrectly allowed in normal build files. The fix just checks if the duplicate target is defined in an imported file or in a ""main"" file. Reported by: Dominique Devienne See: http://marc.theaimsgroup.com/?t=107705039100004&r=1&w=2"
7617c7398,A new roundup attribute on <zip> and related task can be used to control whether the file modification times inside the archive will be rounded up or down (sinceips only store modification times with a granularity of two seconds).  The default remains to round up.
be91e2871,<apply> with nested <filelist> didn't check out-of-dateness.
2a225a1ba,"More tweaks to the RPM specific section, submitted by Randy Watler"
aaed31a8a,"Remove part of the NOTICE file that is covered by section 6 of the License - don't ask me what constitutes a trademark for US law, but I've been told Ant would be an unregistered one"
6483e3877,Add nested <mapper>s to <pathconvert>. PR: 26364 Submitted by:	Peter Reilly
7cb8da420,Testcases for <pathconvert>.
19fe5b25a,Merge
d0c105c14,Update contributors to reflect emeritus committers
600084582,Updated committers
025cd82e8,Point to new Wiki
d59c09c16,Add 'run.failing.tests' support.
814f289fd,Make conform to used encoding.
afe94812e,Xerces-J 2.6.2
51b5b08a0,Fix typo.
3c013c9e5,update cvs hreference and some tiding up of cvs manual page Obtained from: Larry Shatzer
fbb67ce4e,Make test pass in Gumpy - at least I hope it does
90a2a192d,This test has been randomly failing on Unix systems ever since their file system is considered to have a granularity of a second.  Give it the same treatment as Windows.
c860131f7,Minor cleanup.
6afe11b4b,tagdiff.xsl got whacked when the apache license got updated PR: 27057 Obtained from: Ted McElwee
3ce4e1260,tagdiff.xsl update
8dfea1a8c,corrections by Larry Schatzer
f1cc5cb1b,mention file nested element to filelist
ac5e9903d,opps
98c3a0ea1,[PATCH] Misspelling: s/occured/occurred/g PR: 27282 Obtained from: Jesse Glick
8a0dc2dea,Make <depend> less verbose if it doesn't do anything.
9e3bcc166,update WHATSNEW
c619bba33,doc fixes for javadoc PR: 27284 Obtained from: Jesse Glick
c885f5683,remove authors from files PR: 27177 Obtained from: J.M. (Martijn) Kruithof
dfcfadbc5,"initial list of contributors to ant, with e-mail addresses removed PR: 27177"
8a5186ec7,fix if build file name has ../ or ./ PR:  26765 Reported by: Ian E. Gorman
2b5378f47,add fix for 26765
cfc35789f,"Wrong condition in flush, submitted by Martijn Kruithof, PR: 27549"
8892a1ce6,doc fix for starteam tasks PR: 27554 Obtained from: Alexz Machinski
cd466ddf6,exec task outputted two redundant trailing newlines PR: 27546 Reported by: marcel at schutte dot com Obtained from: Martijn Kruithof
ce89090b4,Nested file mappers; container mapper. PR: 26364
996e16066,"Add ""negate"" attribute to <propertyset>s."
2d3188c5d,NPE while useing -listener for commons logger. There is a difference between using a -logger and -listener. The former may use a log file and the latter does not get this set. The commons logger code assumes that it is passed the log stream in both cases. The fix is just to initialize the out and err streams in the commons logger class. PR: 27373
00f6d0e66,add javadoc
be5097ce7,Add <nice> to the manual. PR: 26637
6a67ee10d,"Add ""since"" for nested <mapper>."
1ac367174,nice task: checkstyle and fix some comments
a16a445aa,Removing my name
54b827ff4,Don't swallow the stack trace if a Java program throws an exception.
0e58e7173,White-space changes only
e3ce39634,Allow setting of uid and gid in a tarfileset - in addition or in place of user and group. PR: 19120 Reported by: Dale Sherwood
80c2d3216,stylecheck
72621f720,stylecheck
9e43b77ab,checkcheck
05eda0c97,doc: clarification of targets in using.html Obtained from: Jack J. Woehr
7cbf740ee,Quick refactoring.
a38273bbf,ant -p swallows (configuration) errors silently. PR:  27732
685ef88e9,sshexec: document 'host'. Thanks to Gedge
d15ef9e13,Reduce level of skip message to VERBOSE. PR:  27784
e4209b284,filterset used by filtertask doesn't respect loglevel PR:  27568 Obtained from: Marcel Schutte
379094965,Update license
8671950c6,Added examples of using the line.separator system property in the message. PR:  27953
bf495f677,"Log4J is no longer a Jakarta subproject, don't wait for the others to graduate as well."
3732eb195,"working to get Axis & smartfrog to generate their task docs from this code. the generation is good, dvsl bad."
b0507d445,Add <redirector>.
b5adaac3d,Remove comment.
a86e53313,Forgot the default typedef and type unit tests initially.  ;)
e353e5f5a,spelling
2d25bc689,"I do not like the current process of marking incompatibility, as it is a dog to use from programmatic task access. We should validate immediatly before execution instead. This commit is not a fix, merely a partial workaround."
a6c07f5d4,Minor corrections
1b72f9a64,Add Windows 2003 support to getProcEnvCommand() + minor refactoring. PR:  28067 Submitted by:	Irene Rusman
1b510286c,Whitespace changes only
46e87d8cd,Try to make Gump happy
fefa29d94,ProjectComponent incorrect compare used in logging PR: 28070 Obtained from: Matt Small
327f55746,Add Windows 2003 support to getProcEnvCommand() + minor refactoring. PR:  28067 Submitted by:	Irene Rusman
e8acf2f07,Forgot manual page.
5ecbfc243,<parallel>: failonany was tested even if the task succeeded. PR: 28122 Reported by: Oliver Dungey
14211b597,I/O-intensive processes hung when started by Execute.spawn() PR: 23893/26852. Submitted by: Daniel Spilker
eb85ba43d,fix mailing list address
