Hash,Message
5a008aafa,Preparing for release.
5b11971b9,This commit was manufactured by cvs2svn to create tag 'ANT_11'.
8fd0d861a,Changed the version number to ensure nothing but the relase could call itself Ant 1.1.
3e49b015c,Provides an Ant Class loader.
3e3008a15,New Execution Framework.
685433c24,JavaCC task. Submitted by:	Thomas Haas <thomas.haas@softwired-inc.com>
fa41974df,Fixed some JDK 1.1 problems.
1c3e443dd,Added fileset and patternset types and made MatchingTask use them.
6ece0b71b,"Talked about the nested arg element and forgot to include it, tss."
b58278ca5,Execute task that works on multiple files.
9faf51fc3,Corrected documentation to javadoc's packagenames attribute. Submitted by:	Tom Klaasen <Tom.Klaasen@the-ecorp.com>
b10787b4a,Optional JUnit task. Submitted by:	Thomas Haas <thomas.haas@softwired-inc.com>
a965b11a6,Updated documentation of Ant task. Submitted by:	Glenn McAllister <glennm@ca.ibm.com>
2cffdf83c,Initial documentation on the EJB related optional tasks
b63d11b05,Ensure the target file's parent directory exists. Submitted by:	Russell Gold <russgold@acm.org>
a67f5b98b,Workaround for a problem when compiling many files on Windows.
c4b5bdd37,Better support for subbuilds in XmlLogger. Output of XmlLogger can be sent to another file using the XmlLogger.file property. Submitted by:	Glenn McAllister <glennm@ca.ibm.com>
2054505cb,Added a nested patternsetref element to fileset.
6da6eeb41,Added support for patternset and patternsetref to MatchingTask.
ded305a2d,Added an antcall task as a shortcut for ant tasks invoked on the same buildfile.
1b25a5ab7,Updated example to match the implementation.
12f19c932,Modified Ant task to be less memory consuming.
8b613e7fb,Add Javadoc to AntClassLoader Clean up the Javadoc (a little) in the new FileSet and PatternSet classes
b2af359bb,Fix verbose message printed when property overrides are ignored.
983a85c49,"Remove the copying of support files by the Javac task. This feature has been deprecated for some time, including the recent release."
2ae9b05a8,Remove include filter on Java files. This was originally included to ensure no support files were copied by the javac task. This deprecated behaviour has now been removed.
80d35a939,Moved the inclusion of .ant.properties to the top to give the user a chance to override build.compiler there (and maybe other variables as well). Submitted by:	Paul Philion <philion@acmerocket.com>
7db5bdf3b,Documentatin for ejbjar optional task
0c1efed95,Added usetimestamp attribute to Get so that it only downloads a file via HTTP if the source is newer than the local file. Submitted by:	Steve Loughran <steve_l@iseran.com>
a6910f6f9,Chmod didn't work if used as a matching task. Reported by:	Alex Smith <asmith42@hotmail.com>
951046ee1,Task to execute SQL from a file (or directly in the task)
9b79c03c8,"Didn't handle relative paths in project's basedir attribute correctly. Reported by:	<Glen_Stampoultzis@ansett.com.au>,                 Jesse Glick <Jesse.Glick@netbeans.com>"
