Hash,Message
e25567d31,Announce 1.4 release
e88985ddd,Filtering was active during copying docs/images - bad results for our nice logos :-(
7e3ff8944,Update front page
e598dc86b,"I have used the pvcs task and have come up with a patch that I believe will address Bug ID 3219 in a slightly more flexible way, and also allows the archive filename extension to vary from the format hardcoded in the createFolders() method in Pvcs.java"
8477db586,Fixed links.
da882e14d,Updated Get task so that it supports authenticated URLS.
c6124454f,- Applied manual patches supplied by Daniel Martin <dtmartin24@home.com> - Fixed some other places too.
af5b8e19d,keep track of release history in the FAQ.
28a0d816f,Update link to the Cactus Ant tutorial.
ef9d413c7,"I added an XML declaration (<?xml version=""1.0""?>) to the XML log file. Also, I removed some extra spaces in XmlLogger.java."
121bc0cda,Added redundent statement to aid understanding (will be optimized out by compiler anyways).
1cbab00e1,Added in perforce p4add task.
9ce5e4297,YALP (yet another logo proposal 8-)
9fd80fab1,Added documentation for new P4Add task.
16e0c2864,"Unify the attribute of the archive to ""file"" rather than having three separate attributes (zipfile, jarfile and warfile)."
1409fd33f,Remove deprecated tag as that method is NOT deprecated - gotta love copy-paste documentation ;)
6c0ef6993,remove super. as it is redundent.
14d578863,Deprecated earfile in favour of file.
876a3660c,Deprecatedipfile in favour of file to follow siuit with the other tasks that deal with archives.
d0c933c32,Deprecatedipfile in favour of file to follow siuit with the other tasks that d eal with archives.
8321d98f4,"Update ant build file so that it uses the new unified ""file"" attribute for all archive manipulation tasks."
9cd6074a0,Super is redundent.
e4957c5f1,Oops I used the wrong convention!!!
3c8d54da8,Remove name attribute from project.
9e8a2d236,Fixed spelling mistake (superseded).
1a3c58674,Fix bug in Ant where the system properties would not be placed into new Project when inheritall=false. (This was due to confusion between variable naming).
e01f8574a,Noted that inheritall bug had been fixed.
3d047d54a,Reworked task to use files internall rather than strings so that the task doesn't have to try and resolve things internally.
7eeecccd2,First cut at a generic jspc task/facade system.
dccafad30,Removed ; characters in innapropriate places to get rid of jikes warning:
bf7ed063e,"Removed redundent access specifiers so that Ant compiles cleanly in jikes pedantic mode. They are ""strongly discouraged"" by the JLS spec."
f9e06784d,Made codebase not violate the JLS recomendations by removing redundent access specifiers.
532f47441,make merge easier by manually merging this file (added encoding decl).
bab6532e4,use FileUtils' resolution method for the dir/antfile logic
4c23845a3,"I noticed that when a task is created using taskdef, all messages were being logged against the target."
795c7c88d,Clean whitespace
602c461fe,Made the -projecthelp only print out targets that have coresponding descriptions unless loglevel is verbose or debug.
d1798179b,Delegate to Task.perform() instead which has better error checking rather than reimplementing in this class.
35e92352f,Revert to old gzip interface.
60a7fcae5,and update the page for the site as well.
2b0ab1d4d,Add an encoding attribute so SQL statements can be double byte
304895ce6,Add encoding to <replace> task so that replace can work on double byte characters
e90841384,Fix up cut and paste error - oops - Thanks Sam
effcb7ade,Remove whitespace at end of lines.
7a132746e,Fixed case where
585a09156,"Fix logic of last patch to make <zipfileset src=""foo.zip"" /> work again."
180fe0da5,change download links.
a03202c5a,"Adding some more detail to the documentation, such as a pointer to where jasper comes from, another example, the failonerror flag and some more minor cleaning up."
74664ce5d,Added the ability to set the loader-file as a parameter
1fa5ccf56,"Make the project accessible via consistent name (""project"")."
bec2a0777,Merge of 1.4.1 changes into Main truck for Gump testing
b6f5be464,Merge across fixes from 1.4 branch
7eee353dd,Task thats add delete capability to the P4 suite of tasks.
03820a820,"Add reference to current task instance under the name ""self"" to <script> task."
361eba435,"Make FileUtils.resolveFile more robust - modelled after File(File, String)."
ede07a7c2,"Add new <isset> condition, simplify ConditionBase by using ProjectComponent."
66c85d36a,Add example for csh settings. PR: Obtained from: Submitted by: Reviewed by:
50cd7c54a,Enabled encoding option for gcj Java compiler.
6ffc1671f,Make sure file for reading patterns is closed.
1c87db68f,Added ability to resolve entitys to local files.
9699e6a75,added reference to XDoclet
bb346818e,made rhino easier to find
17db332c6,iFix up stylesheet PI
92705e116,Add support for message beans
651b15a3e,D'Oh - didn;t resolve all conflicts :-( - done now.
2f9c8a56f,Fix syntax error - leftover line
e4a95755b,Add support for ejb2.0 local interfaces
11f6c1a20,Merge across from Ant 1.4.1 changes
c2cfb8486,Update to documentation from 1.4.1 release
d1d47e981,Handle continuations in section names PR:	4075
201b39cc1,Added task to create a manifest easily from build file.
382b3c9bf,Removed some tabs.
8cb8f75cd,"If a fileset defines a single file, allow the Copy and Move tasks to work with the toFile attribute."
2e743d51a,News of release
df5c88224,Make it a little cleaner
323591f86,Updated documentation for Move to reflect the ability to create filesets with single files that move to another file.
1be070bb5,Ignore NoSuchMethod exceptions when looking for setProject in non Task classes being used as tasks
bd699bf0c,"PathConvert does not allow NetWare as a targetOS. There was also a problem with the logic of PathConvert treating everything that did not have a targetOS=Windows as UNIX, where in this case the Windows assumptions are actually more correct for NetWare. �(The assumptions are the type of classpath separator, "";"" on Windows and NetWare, and the directory path separator, and NetWare can deal with either ""/"", or ""\\"" equally well)."
d81ef5ce7,Add comments regarding future netware integration.
72f5630bd,Remove some tabs.
d02271456,Check for Os set to netware.
471322b9a,"I made a lot of changes here, to almost every test case in the ""testConstructor"" test. �Partly this code is system-dependent, but it is also testing that the paths are tokenized or split into individual paths correctly, so that system dependence is probably ok here. �I simply added in a NetWare case everywhere there was a UNIX and Windows(really, ""else"") case."
84ca9ada4,Add support for extracting names from Volumes on NetWare.
4d1779528,Change to distribution build. It now packages optional.jar into the main binary distribution and splits src and bin into separate directories
67c4d97ae,"IE6 on winXP doesn't like the &apos; entity, rather than replace it with a single quote and break some other browser  the sentence was reworked to indicate possesion differently."
aad13f9b8,Revisiting of these. Some proofing; more on Java1.1 to 1.4 compatibility needs.
c343aaa8d,Text + example of how to use a task in the file it is compiled. Keeping silent on taskdef's property file loading functionality so that people dont start using it just before it gets taken away.
e98cb1b04,"other unices have rpm too, I am told."
9839eb732,* Updated description and URL of Mark Volkmann's presentation on Ant.  Mark updated his presentation for Ant 1.4 and made it available in PDF format.
11d421035,"I've just put together a patch for the JDepend task to use xml output. A new attribute ""format"" has been added that can take either ""xml"" or ""text"" defaulting to the latter. �Appropriate changes have been made to the documentation, and additionally a .xsl file is attached to produce html with a similar style to that of junitreport."
fe05ef0ff,"Allow for an ANT_ARGS environment variable, for setting things like using a different logger or including the -find flag."
89aa7775a,Added some javadocs for OS condition.
482c675f6,"add ""netware"" as possible value for the <os> condition."
490a7cd05,"remove redundant code from FileUtils, handle Netware case in IntrospectionHelper's testcase."
59fcd9ab8,Add initial testcase for the optional propertyfile task.
09a7def3c,Make <propertyfile>'s default attribute work as expected.
1f2d7b9b3,a full second of leeway on the clock during sleep tests to address scheduling/timing issues across different platforms.
1fabe3a61,added uriroot and uribase options
2ddeb409b,documented uriroot and uribase options; cleaned up some other bits based on more experience with the task.
2f1d7a881,"bug #4111: ftp task does not work with a Windows 2000 ftp server with ""MSDOS"" directory listing. This is now documented."
3ff51a6ad,state that properties are case sensitive.
451b31643,At least print a warning if users try to redefine tasks or datatypes.
5306e0b58,"improve ""could not create task"" error message."
cbcfff6e2,add documentation for <cvs>'s failonerror attribute.
7f1c7f215,add section on dependency checking
9c1d332ce,Bootstraps are not cleaning up after themselves.
07e96569d,Account for a change in JUnit - TestCase.name() has been removed.
