Hash,Message
8031d7c31,move resource comparators tests to antunit
19b043673,REALLY antunit-ize the test
23b6d1df6,failing test for PR 46257
b7858a932,pathconvert preserveduplicates
5e7b9b56d,pathconvert preserveduplicates
2c7748a3f,PR 46527; sort losing equal entries
2126e623b,restore stuff accidentally blown away
4a89dbed5,Add link to Ant+DocBook article.
8efbd0e19,"need to add a path separator after the first path element, not before it"
48a59fa35,Document ProfileLogger
190f0ac69,Initial announcement of Ivy 2.0.0
ac360836a,Use Matt's proposed text to fix PR 46526
ef0bc712f,"The ""welcome"" page uses another content than the ""news"", but Ivy 2.0.0 is worth to be announced on a more prominent place (too)."
d44b844cf,Added announcement for the Ivy 2.0.0 release.
382ff3b79,Fixed the anakia.classpath construction when using velocity 1.6.1
970247d77,"#45902: <zip> (without dofilesonly=""true"") sometimes recreated archives unnecessarily."
4ff97c4cf,Two more examles.
ca4b6cc23,turn Jesse's testcase in PR 45902 into an AntUnit test (failed before applying revision 738330 and passes after it)
2714152a1,document resourcecontains condition
130b9317e,support source/target on gcj.  PR 46617.  Based on patch by Pawełuzelski
8d48bc679,Move theip package into a Java 1.4 world
601cdf67b,Make sureIP archive is closed even when a RuntimeExpection occurs.  PR 46559
0e6ae7261,fix MIME type
499deaa37,Include information about the XSLT processor found (if any) in -diagnostics.  PR 46612.
3b62d3b48,the fix for 46506 is not backwards compatible
e73a7f649,IgnoreIP extra fields that don't contain the recommended header+length structure - this is what unzip does as well.  PR 42940
24fe82e43,"Adding task to provide host info, requests in bug reports 31164 and 45861."
2ca342fb2,"Fixed some obvious errors. (Formatter class is not thread safe, equals from string to another object)."
d534f1e1a,Math.abs(rand.nextInt()) may yield negative value. rand.nextInt(Integer.MAX_VALUE) seems to be what was meant.
9c88ea5b4,Original toString would always throw a NPE.
05aa4509f,Forgot to commit this one yesterday (belongs to commit r739567)
485c20f2f,Another thread-unsafe date formatter
8c3c62ba7,"Do not filter out AssertionError bugzilla 45631. Also some corrections and still avoid inclusion of the AssertionError ""Caused by"" line as originally present when converting to AssertionFailedError."
8c0cc2ec6,45631
c89504bc1,looks like an artifact of a typo
6cc73a736,Use a real transformation error instead of an XML parsing error in testTransformationError
336c1beb2,Added signature
2d1ac70e3,fix XMLCatalogTest on Java6
b27fa7d06,indentation changes only
1497397ce,* Add Hudson builds * Add Velocity makros for Hudson * Use Guest-Link for TeamCity (thanks to Yegor Yarko)
a9c72d0ac,regenerate site
