Hash,Message
8c2a2d46c,Ant 1.6.2 release
839855906,"Add a note concerning long file names in tar files, gnu tar PR: 30143"
236873d6e,Prevent AbstractCvsTask from closing its output and error streams prematurely PR: 30097 Submitted by: Will Wang (telerice at yahoo dot com)
f7a5fe105,Added an ignorecontents attribute to <different>
e0b5c6045,"Javadoc fixes for RuntimeConfigurable, Project, Location PR: 30160 Submitted by: Jesse Glick (jglick at netbeans dot org)"
f57b84f63,A new article
e30f1cdbc,typo; BugID 30277
c692a67a3,Try to get the dependency analysis right this time while preserving BC. PR: 29977
967dde65b,Make compile
2d057f800,typo Submitted by: Yuji Yamano yyamano at kt dot rim dot or dot jp
cc1b02fb9,Correction of the example for p4label task to match attributes PR: 30299 Submitted by: Tim Clemons timc at messagegate dot com
8fdf27262,Impossible to use implicit classpath for <taskdef> when Ant core loader != Java application loader and Path.systemClassPath taken from ${java.class.path} PR: 30161 Submitted by: Jesse Glick (jglick at netbeans dot org)
a103ec640,logging the classpath once is enough
cc1d22cff,new tests fail if the tests themselves live on the system classloader
0dc733125,Can talk about 1.6.2 in present tense now
84fdd0cc5,Mono's mcs doesn't like the filealign parameter
75e636947,<wsdltodotnet> should now work with Mono 1.0 as well
0f6f47731,Mono's wsdl.exe uses a different return code (2) than Microsoft's
78946192a,Add pointer to JarBundler - submitted by Seth Morabito
d7858c284,Wrapper scripts did not detect WINNT value of dynamic OS environment variable when logged into workstations using Novell authentication. PR: 30366 Obtained from: Dave Brondsema
4c30dd5d5,make <ilasm> work on Mono
22d6ae2ea,"Mono doesn't include the Webservice namespace by default, I don't think this change will break the tests on Microsoft's Framework"
a177bc702,We can now savely run all .NET tests on Mono
22b84e3a9,"Base version decision on classpath instead of archive names, this allows Gump to effectivly ignore javacchome"
aa816d8ae,Try to make somewhat clear explanation...
d9277ce3b,Article about 'buildfile' written in Java
a8814a50b,Add example regexp that maps from Java class files to the corresponding source files.
72252a914,"Now support for nested schemas as add ons. Will probably break mono, but the tests have been written so as not to expose that break."
c876b58d2,"A couple extra traces in the log for xml validate. I wonder if we should include the full exception text on a parse failure, as it is often useful."
854b09faf,typo
5760f1c3f,wsdl.exe cant spell parseable.
f53a735ba,fix case
58b828830,little known facts about IA64. 64 bit pointers mean you run out heap twice as fast.
dc808ef69,"The ide is fussy, so we dont have to be"
b6da0f3f1,1. some factoring out of the timestamp checks for even more reuse. That way the granularity logic can all go in one place.
579a1f76b,Echo cleanup. Too much duplicate logic.
803fb00df,"These changes will break Stefan's and my work builds, but they are for the better."
0cd930183,updated whatsnew
9efd10353,29808. Clearify what 'external' means.
24193cb45,Change output so that it doesn't look as if csc always compiles everything
45a286b04,sneak in an explicit test of the new file utils timestamp comparison stuff
0a1ffe3fc,I am still to test this.
fdf4bba14,rmic gets a fork option.
18aa085b7,"IDE stuck in a GPL license, thinking this was day-job code :)"
85f05e8b8,"more tests; 'default' compiler and """" has a well defined behaviour."
6ecb28f9d,javadocs
3d29d200b,external JudoScript task
ea016c984,"fixed the test failure, added a proper self contained test."
73bea8d87,"test fixup, I still think the csc tests are broken."
aacbb8e34,Allow DependScanner to use DirectoryScanner's basedir attribute. PR: 30558
4f24496d0,external Xclude task
bdedc93fe,missing license
a4e0e85b9,typo
df70b2b9e,Clearify the availability of nested <param>/<property> elements in <ant>/<antcall>.
74c147ed2,Make NetCommand#setDirectory actually do something
a349a7f73,"Use a different way to deal with Mono's ""I don't like absolute Unix path names"" feature - change into the directory that holds the WSDL file and only use the file name."
8b18d1984,Correct subscripts.
ff18eadd2,Add name attribute to project element in Ant's build file
8c4315b93,Merge
062527700,"Current Nightly builds are a little, um, stale. Don't get people's hopes up for now."
402c91899,Missed closing tag
81b872996,article about extending <input>
7d80523ec,Merged the solution of PR 15390 (choice of regular expression implementation) into ANT_16_BRANCH
5d26c58ca,Add @since tags to methods introduced in Ant 1.6.2 PR: 30276 Submitted by: Jesse Glick
4b4a9b7d9,Me to PMC; Peter and Sam not in alpha order.
0e2cfd51d,<apply> differentiating between empty and up to date broke <classfileset>s. PR: 30567
3a1cfecdb,WHATSNEW for bug: PR: 30567
0cb3ae74e,fix for multiple macro instance use to fail
0f8074d34,Fix bug whereby the first file open was always logged to System.out. Fix by opening only on demand so that managingTask can be set.
51009fc41,Fix bug whereby the first file open was always logged to System.out. Fix by opening only on demand so that managingTask can be set.
ca239f6cd,Typo
00fda1194,Log if unable to open a File.
e3bbc7c3c,small refactorings
7d7fa63c2,<nunit>
6fd0ddc8b,"When searching /usr/local/java/jdk1.3/bin:/usr/local/bin:/bin:/usr/bin:/usr/X11R6/bin:/home/bodewig/bin:/home/bodewig/dev/xml-forrest/build/dist/shbat//bin, look into user supplied environment first"
d0fe01180,Provide access to extension points and attribute/element/extensions/text methods in     IntrospectionHelper PR: 30794 Obtained from: Dominique Devienne
51f92f3d6,checksum fileext property doc wrong PR: 30787 Obtained from: Howard M. Lewis Ship
17841320a,FTP getTimeDiff was returning wrong value PR: 30595
2885c8cb2,"Change to put in accordance with documentation : compiler name wlrmic, not weblogic ?"
16904c3c1,reverting previous change compiler is called weblogic in the documentation the testcase seems to have been wrong
12f1e22e1,"Zip task did not create tasks when there are only empty directories in the selection I have simply added a testcase, the code was already fixed by Matt Benson inip.java revision 1.128 PR: 30365"
84bfc9dab,Allow <move>'s file attribute to rename a directory. PR: 22863
9d009f659,Move to 1.6 branch PR: 22863 Obtained from: Submitted by: Reviewed by:
284174e86,"Refactored Target invocation into org.apache.tools.ant.Executor implementations. PR: 21421, 29248"
5dc7ab662,Let <move> compile.
e9044f627,Complex example
f314cb489,Indicate the message that causes the loop
95b858243,typo
be8d99f40,javadoc fixes
2f92f5e23,Apply Matt's contrib changes and update Cortex to Cenqua
543344b83,add a -cp option to Launcher.java to cause it to treat CLASSPATH different from -lib options. PR: 28046
bec097177,add a caveat concerning jython.jar
600708566,Integrate <subant> complex example into mergefile.
6d5ce0b16,Added SQLC to external page.
81334a5db,mark two constants as static.
9f82a6d39,"Add pointer to XRN, submitted by Edouard Mercier"
fc0f7222f,jikes compiles us now
81531e4cc,Root cause of InstantiationException may be null in class.newInstance()
70b487e7b,Add the InstantiationException: org.apache.tools.ant.Main error to the FAQ
4bf7ca152,Add an example to InstantiationException
e9930da20,InstantiationException.getCause() not in jdk 1.3.
3c5028e3d,"Doesn't compile on JDK 1.3: IntrospectionHelper.java:1471: method is inherited from org.apache.tools.ant.IntrospectionHelper.NestedCreator and hides variable in outer class createAddTypeCreator(org.apache.tools.ant.Project,java.lang.Object,java.lang.String).  An explicit 'this' qualifier must be used to select the desired instance."
6c2201f30,Clarify that the file attribute can refer to a directory as well. PR: 31113
0f723fa82,"Support different output formats in checksum, PR 16539, based on a patch by Mark R. Diggory"
2da1da584,more to clean up
1ddab2c14,add xmlcatalog nested element to the xmlproperty task PR: 27053 Obtained from: David Crossley and Dave Brondsema
5e4cb9c6e,Fixed javadoc for Task#handleErrorFlush PR: 31153 Obtained from: Jayant Sai
961cb53ce,docs for PR 16539
c59663acc,Adapt to Ant 1.6.2
1e6b27652,Added searchpath attribute to <exec> for searching path variables when resolveexecutable = true.  Thanks to Stefan for having already written the path-searching code.
6cccca82a,Fix up entries from ant 1.5beta PR: 31112
82269200f,opps got ids mixed up in faq
95687de29,Update netbeans bundling info PR: 30607 Obtained from: Jesse Glick
f16558e63,use copy constructor Simplified copying of Hashtables in propertyhelper.java PR: 30163 Obtained from: Jesse Glick
0036584e2,make IntrospectionHelper compile under jdk1.2.2
ac747c8ca,allow testcase to compile under jdk1.2.2
1ef0cd4f5,update SQLC infos
0e46158a1,AntTypeDefintion#similarDefinition could be called in situations where the loader for the class is not antclassloader Obtained from: David Konecny
f94d46e40,fix sizeselector testcase
6e9613058,Doc for groovy jars installation
07f24b038,"script doc: Add groovy, beanshell and jython examples             Modify echo example so that it does not modify ant's task structure             (This is not a usecase we want for script)."
53d2428cb,typepo: snipnet -> snippet Obtained from: Jan
4b7be3b84,script doc: add judoscript example
1bf93eb28,This is a FAQ by any measure.
62d0b31a3,Add some docs for people getting to minotaur via any other means than my blog
0a7e4aa6b,Add some docs for people getting to minotaur via any other means than my blog
dcde95ece,complete sentence
e358dd716,add in ruby examples and another groovy example example from Cedric Beust's blog http://beust.com/weblog/archives/000181.html with a conversion to groovy from Sam Pullara
12f0f8f38,Remove unnecessary exists() check.
cea5e4cd9,adding debug message since the BuildException may be caught
b3b1c6dcc,Close property file.
3ac6b567c,Update CONTRIBUTORS
17f55de7c,It is a good idea to look for a different version of Ant before reporting a bug
610157017,update eclipse bundling information PR:  31280 Obtained from: Darin Swanson
1c824926f,add dependencies to external page PR: 31367 Obtained from: Russ Gold
acd0bcd1e,Add a new option -nouserlib to the ant command. This allows running ant without loading the jars from ${user.home}/.ant/lib. This is useful for building ant.
1beb540cd,checkstyle
d4ebf0409,Try to get the correct task/type name for an unsupported attribute/element exception thrown by IntrospectionHelper PR: 31389 and 29499 Reported by: Tamas Szeredi and Jesse Glick
e7e3a3552,Manual page for cvsversion contained incorrect attributes and did not say since 1.6.1 PR:  31408 Reported by: Andy Wood
5d2096725,Typeo in defintion of <cvsversion> task causing it not be defined. PR: 31403 Obtained from: Andy Wood
84c200de2,"Typo in ""Typeo in defintion of <cvsversion> task causing it not be defined"". >;)"
4b2db7c0c,Add alwayslog attribute to <redirector>.
fc4482c26,remove modifying exception code for unknown<attribute/element>exception
194c0d761,update for groovy 1.0 beta 7
898679e8e,Don't ignore invalid operation mode silently
64d149d3e,Update for PR 30669
9844e736f,Make test pass on OS X
926833a05,tests are on system classpath of forked tests
6f4f0c607,Throw in some unit tests for <junit> - one of them will fail related to bug 30333
8c9b19d0a,Add a simple TestListener to each forked VM that does nothing but write a single byte to a file.
6362427b0,"Improved BWC, not that good, though"
08c6cab4c,"Oops, better compile before commit"
ccfc21662,"Don't assume class.getClassLoader is not null, PR 31450"
1c48e016c,Fix for execution of top level tasks getting delayed by targets. PR: 31487
efc64ca27,move to 1.6 branch
c2a7acd9b,javadoc fixup -only because IntelliJ is so fussy.
40cfb498f,clarify conditional target execution logic
d3b7b08ba,clean machines reveal invalid assumptions
f6c27e584,typo
d84de6b84,-noclasspath option   Added -noclasspath option to allow running ant WITHOUT using CLASSPATH env   variable. Modified ant.bat to do this so that %CLASSPATH% is not looked at.   Modified build.sh and build.bat to use the option.
68ec6c3b5,document classpathref for <typedef> PR: 31555 Reported by: Nathan Robertson
89531ee35,fix license
66676d22f,Make sure test output gets grabbed early enough to capture everything.
dfaa904e5,plug memory leak in non-forked <junit>
bf772f7f9,white space changes only
1fbd2fe32,people might reuse this task instance
c31f5ae25,"Somewhat reworked patch for bug# 31106, submitted by Isao Yanagimachi. Took the opportunity to clean up the tasks slightly, such as removing duplication in various methods. We need a unit test for long command line java, and many parameter java, just to see what breaks."
e66d7c875,"Dont ask me why jikes decided to go all fussy on me. It has, and these are the corrections."
dd59f330e,remove -noclasspath from build.sh and build.bat It was not BC and may have caused a gumpy glitch.
a5a1cf239,Restore <move>'s ability to replace existing files and/or write into existing directories. PR: 31031
95b30f07c,Make Gump happy
c3c765a2b,Documentation fixes for PVCS task. PR: 31582
e0447a738,"First of the Java1.5 extensions. Closest j2se has for detecting offline state, though I note J2ME and JavaWebStart have offline tests. Needs tests."
b76a450b3,Move optional conditions to a suitable place
2aaaa9be9,update selector to go with the move
1a5baa2ad,raise log level of targets to match that of task events
689641b01,accessors to command line are occasionally useful when working with java
8c49a2b84,Test that verifies XML parser version (Xerces) and feature set.
5f78c07e3,"Wrapper for Apt tool in Java1.5, from bug ID 29978"
c0bda1b4c,Fed up with complaints about rmic generated code not having its source files found. Now you can turn it off.
278fa07a5,apt tool
7924a0f5e,remove a debug system.out from XmlProperty.java Reported By: Ricky Panaglucci
00a70173b,Apt docs. Also flipped the nocompile flag in name and meaning
8e933d962,"ispingable is defined, corrected validation logic (I think :)"
52af56afe,define <ispingable>
3c231b4ee,The code that tries to detect a crashing forked VM in <junit> breaks down when the VM runs multiple tests.
ba92c9950,Add pointer to Antlion
9f4c2a3be,Errors thrown before we fire startTestSuite cause problems in setOutAndErr
49253c623,Typos
276a003a9,disable .NET tests until Mono on Brutus works as it should
7c20aeab9,"If this works, my CVS access is working OK..."
7228bef97,add failall value for onerror attribute of <typedef> PR: 31685 Obtained from: 	steve morin
4e1ca8ada,ExecTask executes checkConfiguration() even though os does not match. PR: 31805 Obtained from: David Boon
a340fef0f,Concat task instance could not be run twice PR: 31814 Reported by: 	elara at smartops dot com (Eduardo)
045a7004a,Repository support; needs http client 2.x and commons-logging. Broken: repository references (you'll see in the test results) not tested: authenticated access to the repository. Already had a feature request for multiple repository support; would be nice. That and better diagnostics on failure. Note that we dont currently probe ibiblio for availaibility; that was taking longer than the fetches themselves.
d2ceff2d4,Move GetLibrariesTest to make tests compile without httpclient
66ca57654,Replace all is dangerous
40f66c43d,Updates link to JDEE
a245b4e9e,"compiler attributes is used to determine command line arguments even in the fork case, this warning is misleading.  PR: 31664"
39404a019,Better error reporting when users set the wrong default namespace.
651540272,NPE using XmlLogger and antlib check if the value of the name attribute is not null set the taskname of the antlib task PR: 31840 Obtained from: Mariano Benitez
a39b8f902,Removed too much with my last patch
7e145de4f,Properties.propertyNames() should be used instead of .keys(). PR: 27261 Obtained from: Mike Murray
39868ef36,Properties.propertyNames() should be used instead of .keys(): fix for previous fix - use getProperty() and not get() fix for PropertySet PR: 27261
94776206e,More Mono trouble on Brutus
52045d8f5,Some words of warning - always specify -target and -source or you are lost with JDK 1.5
04b378d4c,not testing the broken stuff; will do a big rework soon w/ the httpunit and incubator stuff integrated
f993e95b3,Make handling of javac -source easier.  Simply make JDK 1.4.1's interface upwards compatible.
060243e8b,Use org.apache.log4j.Logger instead of org.apache.log4j.Category PR: 31951 Obtained from: J.M. (Martijn) Kruithof
5c2af9036,"opps, forgot to save the change.."
fdc903238,"Patch in PR# 21996 add a flatten to unzip. I actually only patched in the mapper nested element support; with that the flatten attribute can only introduce inconsistency (what if you spec a mapper and flatten=true). And the patch was modified to keep the attributes private, with a getMapper() operation for subclasses (like untar) to get when needed. Did a bit of cleanup -especially of the unzip tests- while at it."
844ca9696,merging features of Russell's dependencies contribution; conditional dependencies and setting of a path to the dependency list. Moving from httpclient to get is still todo.
3bed56930,document mapper in expand
e47f624d5,more diagnostics
0a9a3cc1f,ApacheCon
f40450a1e,Make sure <record> lets go of files when stopped.
c8203de65,whitespace changes only
7651d0285,"1. Updated repository work; now has the following from Russel Gold's contrib  -uses <get> to get  -sets a classpath after 2. some changes to Get to make this work. They also lay the way to adding progress indicators to guis, if that is felt useful in IDEs (it may be, once downloads become more common) 3. starting on security. This will need to work with <checksum> to get done. Currently the md5 can be fetched if asked for, and if so it must exist."
cffb3d09d,remove httpclient selector. Leave the test in for future use.
b90c4f8ec,Deprecate defaultexcludes; consistency. PR: 31834
e4160c6fe,"PR: 32066: exec favours .exe over . com. Yes, it does."
53cd4e895,Tests for recorder by Martijn Kruithof
b5252dc95,Adjust to reality
09966b4c3,Adjust to reality
24f365284,Don't use deprecated code.  Submitted by: Kevin Jackson <kevin dot jackson at it dot fts dash vn dot com>
1700aa0b9,Make getCompatibilityWith actually compare two different values.
a3dea82e0,Keep track of contributions
32365ed4e,Some places where url.toFile has been used instead of FileUtils.fromURI.
b1186f08a,"Preparations for PR: 21832, in particular unit tests and some refactorings for <sync>"
ff703c26b,fix years
4216b1a4c,Improve code as suggested by Dominique
29b76e0c0,"These are all patches to stop java1.5 whining about varargs. In java.15 some of the reflection APIs are overloaded to be usable via varargs, so untyped things cause confusion. These are everywhere that bootstrap complains."
87ce22c5e,final declaration is moot for a static
98e632f37,factor out close logic
a1ead4284,factor out close logic. This changes semantics slightly was we no longer raise an IOE if file closure fails.
6ce66f32e,Comments about Java versions
d80943349,Make it compatible with Safari.. the open function does not return any document. Thanks to Ingmar Stein PR: 26953
129946066,Fix invalid xml formed in case the filename is made of reserved xml characters (ampersand for entities for instance) PR: 30817
c8d28da5f,Manifest task logs warnings: PR32190
3f8c6d6ac,PR32190: manifest warnings
509ae3e1f,Fix a NPE that occurred apparently because Folder.list() can return null Thanks to Bob Evans PR: 31965
be45954b9,Avoid calling getResultSet() multiple times when printing just in case Informix does not like it. This was per suggestion of Bohuslav Roztocil. PR: 27162
42d9dddc0,Restore old method signature (BWC) and plug a ResultSet leak at the same time
72b5c7aa3,ChangeLogWriterTest uses package private class ChangeLogWriter - doesn't work unless both come from the same classloader
c776fe2b0,"Don't create too many temporary objects, based on a patch by Kevin Jackson"
5cdf6b2b0,Invoke static methods as static methods.
60f7e5dff,Lots of typos and spelling (was that misspelt/misspelled ;-) errors.
12efb8dde,several javadoc fixes.
52bdd44cd,JDK 1.3-
ed380ea5d,"deprecated or not, this is the only way to avoid creation of both - a Date and a Calendar instance - that works on JDK 1.3 and 1.2 - Calendar#setTimeInMillis has been protected before 1.4"
94e7786f3,Fixed property typo for p4counter. Thanks to Bernd Gerlach-de Campos PR: 30981
3f31dc8f7,Make Jikes happy
366f48ac9,Fixed escaping of stderr/stdout PR: 30662
776c80d8e,Fix propertyset's builtin attribute
866b754aa,Junit task -- display suite first PR: 31962 Obtained from: Kevin Jackson
7ffe5725b,fix self-comparision
bcc7e3dff,More Jikes warnings
706bba41a,> -> &gt;
81e5eea8b,Try to provide more information on an exception occuring in Kaffe
fcb39856b,A new attempt on nightly builds
a9b196500,More references to nightly builds
2f1e0c35a,Add overwrite attribute to <apply>.
7e5837b08,"Change <apply>'s ""overwrite"" attribute name to ""force"".  Also commit missing Java changes.  Oops."
ad2ed128e,Spelling
169b914f9,"Clarify patterns, PR: 32148"
0e1abe82d,Set the location for the default target (the location will be the project tag) PR: 32267 Reported by: Yves Martin
1628b5d83,Some Gump based Kaffe debugging
7a824ef33,ApacheCon is over
4d831bb7c,patch to stop java1.5 whining about character encodings.
f630ef56e,"Updated <getlibraries> code, plus new classes. After this checkin I'm about to move and rename some of the existing stuff."
f4c6f96ba,1. Move from optional.repository to tasks.repository 2. rename <libraries>
7cd0fc4f6,"In use, you need to know why your build file has paused for so long."
3935a662f,consistent use of <code> - submitted by Larry Shatzer
1953e4f72,Clarify that multiple targetfileset/list elements can exist in the manner of srcfileset/list elements.
b021461c2,"Add my blurb, testing write access to repo. --DD"
c7a1a59bc,regenerate site
db48fbb82,Various checkstyle violations
070278beb,Added isSigned condition and task and signedselector selector PR: 32126 Obtained from: Tarlika Elisabeth Schmitz
81d29e52f,"remove issigned task, make it a condition only"
0adae3872,* Use <issigned> from <signjar>
01cdbea8d,"Fix class name, make tests pass"
5151c0c23,xdoclet complains it is illegal to have comments at the end.
ea0d1cd08,some simple tests for the issigned condition
395f3939f,checkstyle changes Obtained from: Kevin Jackson
32b3d6458,Added warnings regarding duplicate files to <zip> and family. PR: 30339
8fe43107a,Some more whitespace fixes by Larry Shatzer
9ba8549bf,exclude directories for signed selection
a646d6f00,"Use new mapper syntax in an example, submitted by Russel Gold"
48b8c86b8,Add reference to JarPatch by Norbert Barbosa
