Hash,Message
28a2be9b0,ReleaseInstructions step 18 - migration to ant 1.6.0
e4ed29508,Ant 1.6.0 release
961cbd0f4,Add a setbyline(boolean) as well as a setbyline(String) to replaceregexp PR:  25653 Obtained from: Jesse Glick
0c6eb9142,update setproxy doc with xdocs changes
d31ebab75,Fix javadoc for ScriptDefBase PR: 25446 Obtained from: gudnabrsam at yahoo dot com Submitted by: Reviewed by:
494e5affe,stylecheck changes
821f6378b,typo Submitted by: Yuji Yamano
10b2e8062,"The ant 1.6.0 distribution includes 5 documents which still refer to the beta, most notably the index.html at the root of the docs directory. Let's try to put the ReleaseInstructions in an order such that we do not have this type of problems in the future. PR: 25652"
647134d2a,Re add something about mirrors.
6aba7c507,Macrodef can only see lower case attribute names due to its use of DynamicConfigurator. Fix the doc and the code to at least make this consistent. PR: 25687 Obtained from: Geoffrey Wiseman
2edcfbaa0,Add typedef for concatfilter in types/defaults.properties PR: 25697 Obtained from: Tomasz Broniarek
8ad083164,Remind user that JDK 1.4+ includes its own regexp impl PR: 25709 Submitted by: Jesse Glick (jglick at netbeans dot org)
85f6ea379,Fix for script memory retaining problem. PR: 25394 Obtained from: Jose Alberto Fernandez /  Antoine Levy-Lambert
b8c5368ce,Correction of pages which do not fit with XHTML or JavaHelp PR: 25707 Submitted by: Jesse Glick (jglick at netbeans dot org)
476da8dd2,"UnknownElement set the created task to null for gc , but did not set the RuntimeConfigurable's copy to null as well"
336e5b4ed,Reverting setting the wrapper proxy to null as the unit tests failed.
80b892fb4,ComponentHelper. Logic for copying the checked namespaces to new projects was broken.
806443cf9,still 2003
e71c461e8,Back out javadoc-generated overwrite of our online version of the Ant API docs. This has happened before. Please be careful.
060b4735d,Fix unit tests.   - addtypetest used an unused invalid classpathref   - PathTest used an invalid reference in testing attributes
92ff24a7e,add original exception to new buildexception for projectHelper#addLocationToBuildException( PR: 25777 Obtained from: Jesse Glick
5fef1f8fd,"allow IH to handle Constructor(Project, String) in general and not just for Path PR: 25777 Obtained from: Jesse Glick"
74a7ac99f,typeo in checksum.html PR: 25895 Obtained from: Pieter Bloemendaal
5410d80ef,Use getDestDir of jboss element of ejbjar PR: 25826 Obtained from: Damon Sicore
a1b18ea9c,Fix for ant namespace support for nested elements Obtained from: Dominique Devienne
