Hash,Message
8a525b9d1,updating URL of Eclipse's Platform Ant Project
2b42aa7c1,Fixed error in globmapper example: the correct attribute is 'handledirsep' instead of 'ignoredirchar'.
810aab73c,Spelling corrections.
5dd644d23,adding dtAnt as per http://mail-archives.apache.org/mod_mbox/ant-user/201012.mbox/%3C95C3F961795BFE4D81708040CABCCD582BA3AE@ATEX01.dynatrace.local%3E
5165803e8,bumping version up to 1.8.3 for next release preparation
07842a054,adding 1.8.2 release
e763106c8,suggest to use commons-openpgp instead of a script to sign the artifacts
9c9f01284,preparation for 1.8.3 release
8676c1c61,test for bug 50515
913929ecc,adding a reference to the bug report
bb2695af1,"fix for bug 50515, incorrect unicode escapes in propertyfile task"
5ad76f716,testFailNone (now renamed testTestMethods) was passing without actually doing anything.
998309cd5,add maxmemory attribute to javacc and friends.  PR 50513
50333ecba,happy new year
74fb3d870,#50543: decodeUri broken for non-ASCII chars in input.
4f58b5982,NetBeans 7.0 should bundle 1.8.2.
094261329,update of complete-ant-cmd.pl suggested by Ondra Medeksee http://mail-archives.apache.org/mod_mbox/ant-user/201101.mbox/%3CAANLkTinbngSscXy5nAQJaCRQPcVHJQqRJSyuzdneyene@mail.gmail.com%3E
d7538fe27,note about bug fix of 50515
94d175bff,fixing typo
5084636a1,the -source magic was broken for 1.5 and 1.6.  PR 50578
d7fa5b454,make it a sentence
7b1c15b5b,"update of the blurb about dynaTrace ant task, see\ http://mail-archives.apache.org/mod_mbox/ant-user/201101.mbox/%3C95C3F961795BFE4D81708040CABCCD582BC35E@ATEX01.dynatrace.local%3E"
95c52bcee,docs regeneration
c1ef55c46,the image tasks are no longer available. PR 50595
d32c57ef6,eol style
ec4a7fa66,re-generate site
3a077bdc1,typo
c737f55aa,Give build.sysclasspath a chance to influence a forked VM's bootclasspath even if the user didn't supply one herself
e36ab2259,fall back to system properties for build.sysclasspath if there is no project instance
0588dc863,reduce the number of different directories tests compile classes to
9585f199b,embrace antunit-base
1cbc0fe76,embrace antunit-base here as well
8a8bbe2fb,Actually implement inputstring and document inputproperty.  PR 50576
