Hash,Message
068f73488,Merge after 1.3 release
c54e268ac,Further merges now that CVS is going a little faster
dfaa3a413,Update the latest release version on the Ant webpage
6004b4adb,Update manual and link to webpage
119e49b11,Delinquent change to the documentation to document build.sysclasspath.
6f0139454,Add info about default target to -projecthelp
a52b13778,Added SCCS dirs to default excludes list.
239b313fa,Update to Jaxp 1.1
ac29025ea,Quick fix to get nightly builds working again.
f9d39540d,"Added information about the Jext-Plugin to the IDE-Integration section, renamed that section to Editor/IDE Integration at the same time. Removed stray CR in one document."
1520867c3,No reason to test for TraX anymore as we now officially require JAXP 1.1.
daf7ce483,Displaying default target failed when there wasn't a description.
730543998,Restructured requested-features.txt and added some comments. No new content.
d9595ea38,requests from Oliver Wieland VDI <wieland.oliver@vdi.de>
c994f1b82,Added some stuff I remeber being discussed.
fb15f2dcb,We don't have images for our website yet.
078046471,Added requests submitted by Stephane Bailliez <sbailliez@imediation.com>. PR: Obtained from: Submitted by: Reviewed by:
c5ce39d64,Added requests from John.D.Casey@mail.sprint.com
acf4fa5a5,Merge in the stuff from FunctionalRequirements.html.
0edf3b7ad,minor typo in install.html
310829644,Enable bootstrap to be executed multiple times without prompting on Windows.  Does not appear to be a problem on Unix. ----------------------------------------------------------------------
a432d9820,"Added request by SQUELART,GERALD <gerald_squelart@hp.com>"
9878091f3,yet another distant memory
be3dc4f25,Add a pointer to the requirements document to the homepage.
832fe98ae,"Make sureip files, that <zip> is reading from, will be closed."
731144880,Don't hardcode junit.jar - it is not included in the source distribution.
288cc4996,Add Ant News page
a2a085781,Fix a few links
377649c83,Another small fix
b30d297b2,Workaround for a bug in Kaffee.
635c56e2d,Make testcases independent of current working directory - add one for <copy>.
2136cff17,Added property missed in last patch.
b0edc6575,"Fix bug in P4 tasks when port, user or client have not been specified."
4c9deafd6,Replace some entity references to &#150; with a simple (and more portable) dash.
bb97500b4,Make sure javah's outputFile attribute will be resolved correctly.
3f45fc1d3,Make the whenempty attribute ofip use an EnumeratedAttribute - alows the DTD to be stricter.
1dbdb41c5,record what I've been doing.
e65f093c8,Make <antstructure> deal with EnumeratedAttribute attributes whose values don't match the NMTOKEN production.
4053c68fd,Make antstructure ommit tasks it cannot load properly.
1c1103184,update list of fixed bugs in <antstructure>
1ee01780c,clarify the term filterset
4888955d6,Added requests by Jay Glanville <dickon@nortelnetworks.com>
f0058821d,Added requests from bugzilla.
6c0b93ef1,Make <style> resolve stylesheet filename as relative to the projects base directory.
aed3a871a,remove CRs from ant and antRun scripts in the dist targets. PR: 837 Obtained from: Submitted by: Reviewed by:
a7df8b599,cloudy with some hard rain from time to time
3ef676d75,Documented default excluded of <vajexport>. Removed stray CRs.
0cb9c2b22,Added request by Les Hughes <leslie.hughes@rubus.com>
753b60552,Make sure bootclasspath and extdirs attribute of <javac> get special treatment if running JDK 1.1.
ed5b426ea,javac has been fixed for 1.1.
a3db26c76,removed redundant condition.
2870e59a5,Backing out change... ----------------------------------------------------------------------
216f279d6,Added requests by Alex Rosen <arosen@silverstream.com>
28df4c589,Some more distant memories
96e0995d5,requests by Chris Todd <chris.todd@home.com>
d2440f424,request from Stuart Halloway <stu@develop.com>
806fc38b4,request by Paul Hammant <paul_hammant@yahoo.com>
dab0e3723,Make <antcall> and <ant> more Script-friendly.
2bc52047f,Make <style> resolve the stylesheet file name the same way as all other tasks do.
dbebd7ff8,Make delete quiet when trying to delete non-existent files. The message is now logged with verbose mode.
9c7871e71,Start a simple listing of all external resources for Ant that we are aware of.
6c7334ca8,forgot to add the list itself.
9783e6c8c,Make Ant deal with non-String elements stored in system properties.
25ad85c0c,Admit that the patch to <style> breaks backwards compatibility.
37b3d25cc,requests from Oliver Wieland <oliver.wieland@innoq.com>
2d4bfedfb,Committed Nick Davis' patch to add action toggleability.
8d904286f,Updated
571c177da,"Change Chmod task so that the usage    <chmod dir=""${build.dir}"" perm=""ug+rwx""/> works. This was being used in the Alexandria project and seems reasonable usage but was not in fact supported."
89c8921b2,Incorporated a few more points. More coming soon...
6786b60dc,requests by Steve Loughran <steve_l@iseran.com>
7ccd42b3e,request by Scott Sanders <satan@totalsync.com>
0c0cce9b3,Added disclaimer. Added Anakia. Added contact information.
7b485798b,revert <style> to old behavior - make its style attribute interpreted as relative to the basdir attribute. Make sure it works when handed an absolute path.
f3f19e6f7,added compatibilty section - to the best of my knowledge.
fca57f83a,Face lift - still trying to figure out what DTD Anakia uses.
8a21be498,Support setting of the ejbc compiler class.
f71b0b029,Define DTDs for the generic cae and not just the weblogic case
6e99e2722,"Make Thomas' ""Nested Tasks"" proposal a discussion point of its own."
a6b06d7be,request by Arent Gr�bner <arent@t-online.de>
74fcd3cad,Make <chmod> work without a dir attribute.
f7ef1e4b5,Make sure includeEmptyDirs attribute of <delete> does what it promises.
93df9d29a,Make sure includeEmptyDirs attribute of <delete> does what it promises.
b0f1f9cab,Defer sanity checks of dir attribute to the point where the fileset will be used for the first time. This will enable things like
76c6de74b,"Make <delete quite=""true""> handle non-existing dirs in filesets gracefully."
b806dbf97,"Added """" - the basedir itself - to the list of included directories, if it matches."
8df265fd9,Changed the <chmod>s and <fixcrlf>s.
9378601a4,adapt to new Anakia version
26c549d47,requests by Kenneth Albert Liu <kenliu@lucent.com>
9ce79a37c,Task request by Lutz Epperlein <epperlein@opix.de> and Julian gosnell <Julian.Gosnell@ubsw.com>
70415e640,request by Rob Oxspring <roxspring@yahoo.com>
879c6ac9b,request by Marvin Greenberg <MGreenberg@Eidea.com>
020e9c358,request by Thomas Leonhardt <leonhardt@informatik.tu-darmstadt.de>
ad4c56763,removed TODO - three of four points have already been implemented and the remaining one falls into the TaskExecutionEngine category of requested-features.txt.
b31472d21,Make the AntClassLoader load resources in the same order as it currently loads classes.
5e6db292f,Add Martin's Configure Task.
1d920d92e,Changes to the Forte entry.
e92e09294,Added request for sequence functionality in depends.
19ac8e9bb,requests from Tim Vernum <Tim.Vernum@macquarie.com.au>
52d6ae21d,requests by Thomas Leonhardt <leonhardt@informatik.tu-darmstadt.de>
bdc051741,documentation for the optional <starteam> task.
06656c4a9,Move TraXLiaison from optional.jar to ant.jar.
aea2b0caa,Make sure bootstrap.sh runs in a clean environment by removing build/classes.
d7b8f63f0,"Make <style> search relative to the project's basedir first - if it cannot be found, fall back to the task's basedir and print a deprecation warning."
926fcdcbe,pass through the exit value from Ant
5cc29f61e,Make <rmic> a factory task just like <javac> already is. Support Kaffe's rmic.
faa722437,the future is now 8-)
7fc63c89a,Fixed bug when displaying default target with a description.
bc27fce2a,Fix for NPE when getClasspath is called before setRmic
a9ea16d4a,Added layout request.
6ef87655d,Fails on Windows
c9b1cc727,request by Thomas Leonhardt <leonhardt@informatik.tu-darmstadt.de>.
98bf0fac4,request by Scott Sanders <satan@totalsync.com>
ff38a6188,Add support for Weblogic's rmic.
823773454,destdir in <style> is no longer required if in/out have been specified.
d6e5c9e81,Make <tar> handle empty directories.
e78553b86,Add descriptions to main targets.
c434eba78,Centralize method for setting last modification time of a file in Project.
d10d01a97,add description attribute to <p4change>
d8a9a58ad,request by Bill Burton <billb@progress.com>
c0d791849,distant memory again
d95cf71ff,Move over main goals from original Ant. Add a goal to have testcases for everything.
dc51b010d,"make the ""no commit"" statements a little clearer"
154fab9e8,ext dirs - the bane of java developers everywhere.
3afa4e107,Add deprecation indicators for Deltree and Javadoc2
f80406c2b,Missing throw in VAJImport
7d1a12cac,Added some requirements from Eric Siegerman <erics@telepres.com>
328a78b08,"request by Bill Brooks <wbrooks@lug.ee.calpoly.edu>, split into two parts."
116120321,request by Peter Luttrell <peter@firepod.com>
bc1261afe,request by Steve Loughran <steve_l@iseran.com> PR: Obtained from: Submitted by: Reviewed by:
7e061a4d9,"request by Alex Solofnenko <asolofnenko@concordesolutions.com> - or better, my interpretation of it."
ccd767b7a,request by Tim Vernum <Tim.Vernum@macquarie.com.au>
b9f637fc9,requests by Glenn Twiggs <Glenn_Twiggs@bmc.com>
a106a0a32,typos
d9c3b5ca5,request by Deryk Sinotte <deryk.sinotte@audesi.com>
8e21c4c12,request by David Rees <d.rees.l@usa.net>
d9ce954d3,"Added in ""integrate depends/javac"" request."
839c93f9e,Added attribute serverPath which lets the user specify the path to the srcsafe.ini.
f9775c221,Fix for Bug #975 - sometimes (for example with a default installation of cygwin) there are environment-variables containing a new-line. We ignore anything after the first line and log the ignored lines with warning-level.
1d080174e,Added support for the VSS History-command.
d30b76e0d,group requests
06e57b190,"chop .class at the end, not somewhere in the middle."
1164d8842,Fixed a typo
b162d01b9,Omit the basedir itself (which would be added as /) fromipfile.
