Hash,Message
ad82fe67b,javadoc
4afd11bb1,discussion on junit triggered me to look at this task; fix some things the IDE warned about on localisation.
a4bf99606,"new test tasks, not declared yet -so they dont exist-"
7da916d5b,make it impossible to have a null notify value
7b13653ce,read the javadocs on wait(long) to see why this change was made
c6a53a5c6,"no, I'm  rolling this back. Let's wait and see what the tests I'm running at work on something similar say."
422d55a33,defect 38732; rmic task doesn't work with -Xnew and JDK 6.0
c4176305c,test changes to handle windows systems better
fbd52b803,test changes to handle windows systems better
d5b6bc898,fmting
7be8dec56,Bug ID 43780: weblogic RMIC fails on ant1.7.0
bbcd8aea0,default access precedent for testcase access
a2b40eac3,checkstyle
02bc80db7,some javadoc
081e60cec,ws
e9d1a3170,add failing test for BZ 43799
771dd6772,BZ 43799 / touch sees e.g. empty fs as unspecified args
14b1d1862,oops; introduced NPE
06dfd6ef5,43799
315c00f5d,Add sponsorship program links
c8fac18c2,re-generate site
b955593f7,"fix some ""serialVersionUID"" warnings"
3ff20b066,use static methods in a static way
85189970a,Remove use of deprecated constructor calls: Reference(String) and Reference()
92e4570d8,- remove some unused (internal) variables - remove unused imports
487cc320d,-use StringUtils
8d1843b59,-output for windows test
3b9dfc6b0,-make encoding tests pass on windows
6b642c8f5,"-use astext=""true"" so the test passes"
d1b86f00e,some javadoc
4a73a85b7,-comment WLrmic tests
fe29f53a0,-correct setCreateFile to use provided flag
021957cc5,Add missing license headers
f45212cbe,Add missing license headers
0bde74aa3,"Add pointer to MakeRunScript, submitted by Dan Kaplan"
23bbf0857,pulling out unneeded this. references in everything but the constructors
75110026a,pulling out unneeded this. references in everything but the constructors/initialisers. No other changes.
f47e4095c,Bug 43936: <fixcrlf> errors are unhelpful
393f5d34f,bit of tuning
9f31cffbb,43936: <fixcrlf> errors are unhelpful
00c53aef1,"Bugzilla Bug 43624 symlink task failonerror=""false"" does not stop build from failing when 'ln' command returns non-zero"
5d43aad1c,description style
9d0c47e4d,FIX: on windows the css is not included (wrong path was calculated)
6195b6330,add new list
9ffa86dfb,"Example as discussed on user@ant >>Select ""marked"" directories<<"
3ca7e297f,Missing space between clauses.
e8331272b,add xavier PGP key
47de006e0,Fix error in the examples.
301743a48,"remove eyebrowse in favor of mod_mbox, add MarkMail"
a261de08b,"<tar> examples: - tar: tarfile is deprecated since 1.5 - gzip:ipfile is not deprecated, but use of common name - fix attribute names (Bug 44082)"
e8339a490,ups ...
dbc91d42e,Update Ivy links
ad6b39a62,* update javadoc * remove double blanks
94dd480d0,"request from cactus team, backward incompatible change in FileUtils made backward compatible"
46bf9d8c8,improved lay-out + add since ant 1.7.1 instead of 1.8
16901b97d,1. move idldepend 2. kill some broken links on the external page (my own)
0d89047e6,Found some information about <sound> in my local storage which should be in the manual.
437d53cbd,BugID 44240 factor out classpath support from JavaResource  into an Abstract resource
0b551678f,bug 44241 add JavaConstantResource to read string constants.
525ae6c4c,Bug# 44242 Add <funtest> task for functional testing
cb4cbd528,- spelling - a sentence was incomplete (missing additional docs?)
787e7cf94,mention toString:
1e8f7ef1f,BugID 44239: Add ability of resource classes to act as factories for relative resources
4a55178c1,add info on ivy-user list
65c7209b8,re-generate site
63c9a29e5,remove duped index attr
6352c4ac1,checkstyle
57c3643ac,Helper class for checking task configurations.
ad88bbb8e,Examples for * <union> <intersect> <difference> * resource selectors
f1dea0d36,Make code following the documentation.
1017c8530,tweak
b4ba0ddba,<style> is deprecated in favor of <xslt>
a1e34e70c,-just testing netbeans
86b59ef90,"fix part of Cactus problems with the refactored JUnit task of 1.7.0: create the ""delegate"" as needed instead of in execute()"
5fbd70b8a,-bugzilla #44198
92ae184d3,"track JUnit change in WHATSNEW, bump copyright year, add some Javadocs to new JUnit methods"
4848c4503,re-gen site
6e72d89be,Bug 42275 running ant off a network share can cause Ant to fail
82372e064,"bz 44493 <sql> task cannot differentiate between ""no resources specified"" and ""no resources found"""
f715dc614,error in example
4978e3324,skip scripty AntUnit tests if BSF/javax.script are not there
82d7b730e,Test failed on Windows since the file has never been created (and thus never had the wrong case)
cd65163dc,excess blank caused test failure
96582825b,"Ensure the line-ends match the platforms expectation in UTF-16 case.  I can't seem to find a way that svn will accept UTF-16 and native eol-style, so I fall back to the trusted fixcrlf."
efcb32ddf,"add ""testcase"" for bug 44323"
7ea420955,"normalize build file name. In essence, turn relative file names given on the command line into absolute ones.  Submitted by: Justin Vallon.  PR: 44323"
37353d212,"Record Justin Vallon, who provided the patch for issue 44323, as contributor"
496b59d0a,merge license additions from 1.7 branch (i.e. revs 637870 to 637914)
c36b3e794,fix for bugzilla 44630 - error expansion of properties in docs dir
76d35d045,add some missing depends
ea09feb05,some of the antunit tests depend on code in antunit-1.1 trunk
ded146c2d,comment out the junit collector code (I cannot figure out how to make it work)
3a0ea500b,Do not make system be the default location - it is too dangerous - noone reads manuals!
69819ee3c,Remove jython.jar from list of downloaded jars jython2.1.jar contains an old copy of oro [There does not seem to be a way in fetch.xml to  specify the exact version number of the downloaded jars]
281e28004,javamail is now in a maven repository (http://vafer.org/blog/20060504000836)
5cc488df3,add a compiled version of stylebook to allow ant to be compiled
2832a90d2,"Opps, I must have compiled this with > javac5"
b4769e1c2,"up the jdk version to 1.3, and add a note about ant's jdk requirements for older versions of ant (bugzilla 44610)"
c8254a23e,fix unit test
1cb20ea69,fix for 43799: ManifestClassPath cannot traverse system root
